timestamp,x,y,z
1076.083867,1.47,0.801,0.0379
1076.087336,1.57,0.642,0.116
1076.090732,1.71,0.455,0.112
1076.094127,1.78,0.165,0.211
1076.097569,1.83,-0.103,0.355
1076.101031,1.9,-0.344,0.468
1076.104459,1.95,-0.554,0.551
1076.107871,1.97,-0.72,0.62
1076.113634,2,-0.944,0.745
1076.117263,1.59,-0.892,2
1076.120685,2,0.293,0.921
1076.124058,2,2,-2
1076.127506,2,0.264,0.489
1076.130935,2,-0.218,0.938
1076.13437,2,0.283,0.0996
1076.13783,2,-0.283,0.245
1076.141287,2,-0.237,-0.144
1076.144649,2,-0.356,-0.396
1076.148043,2,-0.719,-0.396
1076.15146,2,-0.895,-0.557
1076.15495,1.44,-1.16,-0.659
1076.158373,0.818,-1.63,-0.521
1076.161744,0.411,-1.96,-0.431
1076.165175,0.0109,-2,-0.357
1076.168581,-0.337,-2,-0.314
1076.172002,-0.696,-2,-0.287
1076.175446,-1.03,-2,-0.185
1076.178855,-1.37,-2,-0.12
1076.18229,-1.72,-2,0.0407
1076.185754,-1.94,-2,0.181
1076.189132,-2,-2,0.419
1076.192543,-2,-2,0.556
1076.195962,-2,-2,0.579
1076.199386,-2,-2,0.589
1076.202805,-2,-2,0.279
1076.206285,-2,-2,0.0862
1076.209652,-2,-2,0.0404
1076.213084,-2,-1.96,0.00293
1076.216505,-1.82,-1.57,-0.224
1076.219964,-1.56,-1.22,-0.365
1076.223372,-1.37,-0.907,-0.483
1076.226777,-1.24,-0.493,-0.61
1076.230181,-0.969,-0.328,-0.543
1076.234165,-0.736,-0.16,-0.489
1076.237091,-0.499,0.033,-0.492
1076.240468,-0.299,0.238,-0.497
1076.243906,-0.057,0.467,-0.499
1076.247314,0.119,0.639,-0.492
1076.250726,0.31,0.786,-0.489
1076.254179,0.502,0.901,-0.476
1076.257651,0.68,0.976,-0.414
1076.26101,0.884,1.03,-0.352
1076.264439,1.04,1.04,-0.294
1076.267825,1.22,1.01,-0.248
1076.271275,1.42,0.977,-0.238
1076.274737,1.57,0.851,-0.161
1076.27812,1.74,0.728,-0.0773
1076.281564,1.83,0.555,0.0146
1076.285,1.94,0.362,0.104
1076.288441,2,0.152,0.206
1076.291823,0.796,0.246,1.7
1076.295303,2,-0.142,2
1076.298676,2,1.94,-2
1076.302173,2,2,-2
1076.305501,2,0.15,1.01
1076.309033,2,0.308,0.719
1076.312453,2,0.3,0.0756
1076.315791,2,-0.448,0.45
1076.319201,2,-0.449,0.147
1076.322611,2,-0.501,-0.254
1076.326087,2,-0.93,-0.356
1076.329413,2,-1.04,-0.597
1076.332832,2,-1.23,-0.763
1076.336268,1.49,-1.54,-0.781
1076.339672,0.915,-1.79,-0.752
1076.3431,0.214,-2,-0.823
1076.346513,-0.268,-2,-0.803
1076.34993,-0.79,-2,-0.708
1076.353378,-1.25,-2,-0.505
1076.356791,-1.58,-2,-0.224
1076.360168,-1.91,-2,0.0251
1076.363587,-2,-2,0.23
1076.367022,-2,-2,0.437
1076.370574,-2,-2,0.688
1076.373826,-2,-2,0.807
1076.377258,-2,-2,0.584
1076.380665,-2,-2,0.156
1076.384069,-2,-2,-0.0782
1076.387503,-2,-2,-0.0606
1076.390931,-2,-2,-0.05
1076.394375,-1.87,-1.84,-0.189
1076.397795,-1.67,-1.47,-0.359
1076.401261,-1.54,-1.12,-0.52
1076.404666,-1.43,-0.824,-0.576
1076.408102,-1.23,-0.628,-0.562
1076.411486,-0.929,-0.32,-0.568
1076.414944,-0.65,-0.149,-0.502
1076.41842,-0.459,0.0204,-0.494
1076.421812,-0.274,0.284,-0.557
1076.42526,-0.0863,0.517,-0.596
1076.428621,0.133,0.756,-0.612
1076.432039,0.296,0.912,-0.592
1076.435967,0.475,1.01,-0.54
1076.438917,0.674,1.13,-0.521
1076.442348,0.875,1.18,-0.49
1076.445786,1.1,1.2,-0.409
1076.449191,1.28,1.18,-0.342
1076.452589,1.43,1.12,-0.274
1076.455958,1.58,1.04,-0.209
1076.45944,1.71,0.917,-0.146
1076.462803,1.88,0.737,-0.0727
1076.466261,2,0.533,0.0113
1076.470074,2,0.289,0.119
1076.473094,2,0.0493,0.216
1076.476487,2,-0.13,0.263
1076.479909,2,-0.0316,2
1076.483322,2,0.882,-0.589
1076.486749,2,1.88,-1.62
1076.490132,2,0.0998,0.701
1076.493569,2,-0.404,1.19
1076.496968,2,0.117,0.162
1076.500437,2,-0.536,0.339
1076.503814,2,-0.585,0.149
1076.50726,2,-0.678,-0.043
1076.51066,2,-0.941,-0.237
1076.514076,2,-1.03,-0.59
1076.517476,2,-1.2,-0.66
1076.520902,1.8,-1.27,-0.81
1076.524408,1.21,-1.47,-0.903
1076.527757,0.544,-1.66,-0.95
1076.531283,-0.22,-1.93,-0.867
1076.534642,-0.779,-2,-0.8
1076.538048,-1.24,-2,-0.671
1076.541482,-1.63,-2,-0.561
1076.544869,-1.95,-2,-0.358
1076.54831,-2,-2,-0.225
1076.551776,-2,-2,-0.0467
1076.55526,-2,-2,0.19
1076.558736,-2,-2,0.387
1076.562007,-2,-2,0.476
1076.565458,-2,-2,0.605
1076.569069,-2,-2,0.545
1076.572275,-2,-2,0.521
1076.575708,-2,-2,0.386
1076.579134,-2,-2,0.0489
1076.58258,-1.99,-2,-0.042
1076.586057,-1.7,-2,-0.165
1076.589403,-1.43,-1.67,-0.337
1076.592866,-1.2,-1.44,-0.396
1076.596281,-1.02,-0.97,-0.574
1076.599679,-0.779,-0.696,-0.611
1076.603096,-0.597,-0.479,-0.599
1076.606566,-0.392,-0.22,-0.599
1076.609971,-0.17,0.027,-0.611
1076.613417,0.0833,0.35,-0.614
1076.616831,0.251,0.588,-0.634
1076.620274,0.408,0.792,-0.612
1076.623662,0.625,0.978,-0.585
1076.627088,0.879,1.14,-0.55
1076.631579,1.22,1.31,-0.508
1076.634066,1.42,1.4,-0.438
1076.637389,1.61,1.44,-0.371
1076.640789,1.76,1.47,-0.289
1076.644263,1.96,1.45,-0.292
1076.647614,2,1.35,-0.195
1076.651041,2,1.2,-0.0606
1076.654448,2,1.01,0.0411
1076.657835,2,0.78,0.107
1076.661254,2,0.524,0.186
1076.664685,2,0.136,0.337
1076.668113,2,-0.158,0.467
1076.671509,2,-0.418,0.563
1076.674927,2,-0.63,0.601
1076.678372,1.7,-0.652,1.74
1076.681798,2,0.102,0.778
1076.685305,2,1.54,-1.08
1076.688663,2,0.115,0.124
1076.69205,2,-0.669,0.999
1076.695466,2,-0.19,0.264
1076.698858,2,-0.597,0.239
1076.702298,2,-0.641,0.186
1076.705764,2,-0.565,-0.153
1076.709153,2,-0.736,-0.219
1076.712598,1.99,-0.841,-0.295
1076.71601,1.47,-0.98,-0.39
1076.71942,1.01,-1.14,-0.408
1076.72289,0.628,-1.3,-0.385
1076.726261,0.227,-1.47,-0.389
1076.72968,-0.0491,-1.68,-0.346
1076.733093,-0.414,-1.89,-0.324
1076.736558,-0.698,-2,-0.277
1076.739934,-0.956,-2,-0.211
1076.743349,-1.22,-2,-0.139
1076.746786,-1.34,-2,0.128
1076.750245,-1.56,-2,0.222
1076.753634,-1.62,-2,0.32
1076.757029,-1.67,-2,0.413
1076.760519,-1.72,-2,0.496
1076.763836,-1.79,-2,0.541
1076.76724,-1.8,-2,0.51
1076.770677,-1.68,-2,0.536
1076.774115,-1.48,-2,0.634
1076.777503,-1.36,-2,0.443
1076.780915,-1.41,-2,0.145
1076.784369,-1.38,-1.81,-0.0667
1076.787807,-1.18,-1.49,-0.116
1076.79127,-0.95,-1.21,-0.151
1076.794639,-0.759,-0.89,-0.248
1076.798063,-0.625,-0.583,-0.359
1076.801499,-0.475,-0.176,-0.424
1076.80492,-0.361,0.0862,-0.444
1076.808338,-0.195,0.294,-0.431
1076.811827,0.000122,0.493,-0.395
1076.815261,0.182,0.724,-0.347
1076.818792,0.292,0.908,-0.362
1076.822107,0.417,1.06,-0.344
1076.825549,0.582,1.19,-0.325
1076.828928,0.746,1.28,-0.283
1076.832344,0.92,1.33,-0.219
1076.835765,1.05,1.35,-0.165
1076.839236,1.21,1.36,-0.161
1076.84268,1.37,1.3,-0.128
1076.846064,1.5,1.18,-0.0539
1076.849485,1.66,0.972,0.0545
1076.852913,1.76,0.781,0.127
1076.856348,1.85,0.566,0.181
1076.85976,1.95,0.323,0.261
1076.863235,0.838,0.203,1.68
1076.866606,2,0.894,0.176
1076.870038,2,2,-1.79
1076.873433,2,0.604,0.15
1076.876815,2,-0.349,1.19
1076.880243,2,0.105,0.391
1076.883668,2,-0.523,0.484
1076.887074,2,-0.671,0.415
1076.890521,2,-0.54,0.151
1076.893921,2,-0.836,0.0722
1076.897361,2,-0.934,-0.0303
1076.900766,1.87,-1,-0.318
1076.904231,1.5,-1.17,-0.415
1076.90762,1.02,-1.42,-0.44
1076.911022,0.452,-1.7,-0.44
1076.914423,-0.109,-1.99,-0.342
1076.918095,-0.622,-2,-0.0697
1076.921331,-0.883,-2,0.000915
1076.924708,-1.15,-2,0.0583
1076.928122,-1.22,-2,0.16
1076.931585,-1.32,-2,0.296
1076.936019,-1.47,-2,0.423
1076.938478,-1.55,-2,0.522
1076.94198,-1.59,-2,0.57
1076.945911,-1.58,-2,0.603
1076.948698,-1.58,-2,0.558
1076.95212,-1.47,-2,0.597
1076.955496,-1.42,-2,0.439
1076.958916,-1.49,-2,0.187
1076.962315,-1.49,-2,0.105
1076.965751,-1.37,-1.68,-0.0821
1076.96924,-1.1,-1.24,-0.0614
1076.97266,-0.927,-0.972,-0.114
1076.976057,-0.825,-0.615,-0.218
1076.979497,-0.768,-0.34,-0.263
1076.982944,-0.665,0.00677,-0.311
1076.987019,-0.417,0.261,-0.352
1076.989819,-0.231,0.459,-0.339
1076.993245,-0.0904,0.623,-0.291
1076.996687,0.0299,0.775,-0.249
1077.000115,0.215,1.01,-0.254
1077.003517,0.353,1.12,-0.266
1077.006965,0.47,1.22,-0.275
1077.010402,0.615,1.25,-0.231
1077.013797,0.803,1.26,-0.193
1077.017251,1.02,1.18,-0.0983
1077.020706,1.19,1.1,-0.0479
1077.024089,1.32,0.985,-0.000427
1077.027532,1.44,0.833,0.0302
1077.030927,1.56,0.654,0.312
1077.034376,1.26,0.694,1.6
1077.037831,2,1.04,0.092
1077.041256,2,2,-1.37
1077.044609,2,0.735,0.184
1077.048061,2,-0.2,1.01
1077.051553,2,-0.0061,0.437
1077.05494,2,-0.475,0.503
1077.058349,2,-0.731,0.662
1077.061773,2,-0.806,0.47
1077.065233,2,-0.979,0.29
1077.069048,2,-1.14,0.259
1077.072074,1.84,-1.17,0.0928
1077.076151,1.47,-1.18,-0.0501
1077.078929,1.07,-1.37,-0.064
1077.082351,0.48,-1.5,-0.0739
1077.085812,-0.00256,-1.67,-0.0578
1077.089223,-0.35,-1.86,0.0564
1077.092595,-0.626,-2,0.141
1077.096018,-0.876,-2,0.106
1077.099431,-1.1,-2,0.149
1077.102867,-1.31,-2,0.171
1077.106311,-1.64,-2,0.192
1077.109856,-1.76,-2,0.374
1077.113297,-1.81,-2,0.548
1077.116599,-1.7,-2,0.594
1077.120833,-1.56,-2,0.623
1077.123518,-1.35,-2,0.855
1077.126844,-1.08,-2,0.848
1077.130228,-1.16,-2,0.314
1077.133703,-1.37,-2,0.161
1077.137115,-1.27,-1.78,0.0833
1077.140528,-0.936,-1.47,0.0312
1077.143937,-0.635,-1.26,0.00207
1077.1474,-0.472,-0.994,-0.0949
1077.150805,-0.455,-0.639,-0.162
1077.154226,-0.41,-0.408,-0.21
1077.157652,-0.277,-0.212,-0.214
1077.161119,-0.0692,-0.0293,-0.192
1077.164515,0.128,0.2,-0.156
1077.167931,0.26,0.354,-0.118
1077.171726,0.303,0.528,-0.144
1077.174814,0.373,0.711,-0.174
